,datetime,mjd,UV,year,month,day,hour,minute,date
0,2012-01-01T10:00:00.000,55927.416666666664,0.03,2012,1,1,10,0,2012-01-01
1,2012-01-01T11:00:00.000,55927.458333333336,0.56,2012,1,1,11,0,2012-01-01
2,2012-01-01T12:00:00.000,55927.5,2.32,2012,1,1,12,0,2012-01-01
3,2012-01-01T13:00:00.000,55927.541666666664,5.58,2012,1,1,13,0,2012-01-01
4,2012-01-01T14:00:00.000,55927.583333333336,9.54,2012,1,1,14,0,2012-01-01
5,2012-01-01T15:00:00.000,55927.625,13.08,2012,1,1,15,0,2012-01-01
6,2012-01-01T16:00:00.000,55927.666666666664,15.24,2012,1,1,16,0,2012-01-01
7,2012-01-01T17:00:00.000,55927.708333333336,15.45,2012,1,1,17,0,2012-01-01
8,2012-01-01T18:00:00.000,55927.75,14.07,2012,1,1,18,0,2012-01-01
9,2012-01-01T19:00:00.000,55927.791666666664,11.52,2012,1,1,19,0,2012-01-01
10,2012-01-01T20:00:00.000,55927.833333333336,7.85,2012,1,1,20,0,2012-01-01
11,2012-01-01T21:00:00.000,55927.875,2.8,2012,1,1,21,0,2012-01-01
12,2012-01-01T22:00:00.000,55927.916666666664,1.03,2012,1,1,22,0,2012-01-01
13,2012-01-01T23:00:00.000,55927.958333333336,0.22,2012,1,1,23,0,2012-01-01
14,2012-01-02T10:00:00.000,55928.416666666664,0.03,2012,1,2,10,0,2012-01-02
15,2012-01-02T11:00:00.000,55928.458333333336,0.55,2012,1,2,11,0,2012-01-02
16,2012-01-02T12:00:00.000,55928.5,2.32,2012,1,2,12,0,2012-01-02
17,2012-01-02T13:00:00.000,55928.541666666664,5.62,2012,1,2,13,0,2012-01-02
18,2012-01-02T14:00:00.000,55928.583333333336,9.57,2012,1,2,14,0,2012-01-02
19,2012-01-02T15:00:00.000,55928.625,13.16,2012,1,2,15,0,2012-01-02
20,2012-01-02T16:00:00.000,55928.666666666664,15.38,2012,1,2,16,0,2012-01-02
21,2012-01-02T17:00:00.000,55928.708333333336,15.4,2012,1,2,17,0,2012-01-02
22,2012-01-02T18:00:00.000,55928.75,14.12,2012,1,2,18,0,2012-01-02
23,2012-01-02T19:00:00.000,55928.791666666664,11.22,2012,1,2,19,0,2012-01-02
24,2012-01-02T20:00:00.000,55928.833333333336,7.42,2012,1,2,20,0,2012-01-02
25,2012-01-02T21:00:00.000,55928.875,3.95,2012,1,2,21,0,2012-01-02
26,2012-01-02T22:00:00.000,55928.916666666664,1.41,2012,1,2,22,0,2012-01-02
27,2012-01-02T23:00:00.000,55928.958333333336,0.24,2012,1,2,23,0,2012-01-02
28,2012-01-03T10:00:00.000,55929.416666666664,0.03,2012,1,3,10,0,2012-01-03
29,2012-01-03T11:00:00.000,55929.458333333336,0.57,2012,1,3,11,0,2012-01-03
30,2012-01-03T12:00:00.000,55929.5,2.44,2012,1,3,12,0,2012-01-03
31,2012-01-03T13:00:00.000,55929.541666666664,5.81,2012,1,3,13,0,2012-01-03
32,2012-01-03T14:00:00.000,55929.583333333336,9.99,2012,1,3,14,0,2012-01-03
33,2012-01-03T15:00:00.000,55929.625,13.57,2012,1,3,15,0,2012-01-03
34,2012-01-03T16:00:00.000,55929.666666666664,15.61,2012,1,3,16,0,2012-01-03
35,2012-01-03T17:00:00.000,55929.708333333336,15.76,2012,1,3,17,0,2012-01-03
36,2012-01-03T18:00:00.000,55929.75,14.46,2012,1,3,18,0,2012-01-03
37,2012-01-03T19:00:00.000,55929.791666666664,11.64,2012,1,3,19,0,2012-01-03
38,2012-01-03T20:00:00.000,55929.833333333336,7.71,2012,1,3,20,0,2012-01-03
39,2012-01-03T21:00:00.000,55929.875,3.89,2012,1,3,21,0,2012-01-03
40,2012-01-03T22:00:00.000,55929.916666666664,1.42,2012,1,3,22,0,2012-01-03
41,2012-01-03T23:00:00.000,55929.958333333336,0.21,2012,1,3,23,0,2012-01-03
42,2012-01-04T10:00:00.000,55930.416666666664,0.03,2012,1,4,10,0,2012-01-04
43,2012-01-04T11:00:00.000,55930.458333333336,0.53,2012,1,4,11,0,2012-01-04
44,2012-01-04T12:00:00.000,55930.5,2.28,2012,1,4,12,0,2012-01-04
45,2012-01-04T13:00:00.000,55930.541666666664,5.38,2012,1,4,13,0,2012-01-04
46,2012-01-04T14:00:00.000,55930.583333333336,9.29,2012,1,4,14,0,2012-01-04
47,2012-01-04T15:00:00.000,55930.625,12.73,2012,1,4,15,0,2012-01-04
48,2012-01-04T16:00:00.000,55930.666666666664,14.58,2012,1,4,16,0,2012-01-04
49,2012-01-04T17:00:00.000,55930.708333333336,14.78,2012,1,4,17,0,2012-01-04
50,2012-01-04T18:00:00.000,55930.75,13.4,2012,1,4,18,0,2012-01-04
51,2012-01-04T19:00:00.000,55930.791666666664,10.92,2012,1,4,19,0,2012-01-04
52,2012-01-04T20:00:00.000,55930.833333333336,7.18,2012,1,4,20,0,2012-01-04
53,2012-01-04T21:00:00.000,55930.875,3.76,2012,1,4,21,0,2012-01-04
54,2012-01-04T22:00:00.000,55930.916666666664,1.36,2012,1,4,22,0,2012-01-04
55,2012-01-04T23:00:00.000,55930.958333333336,0.24,2012,1,4,23,0,2012-01-04
56,2012-01-05T10:00:00.000,55931.416666666664,0.03,2012,1,5,10,0,2012-01-05
57,2012-01-05T11:00:00.000,55931.458333333336,0.5,2012,1,5,11,0,2012-01-05
58,2012-01-05T12:00:00.000,55931.5,2.17,2012,1,5,12,0,2012-01-05
59,2012-01-05T13:00:00.000,55931.541666666664,5.24,2012,1,5,13,0,2012-01-05
60,2012-01-05T14:00:00.000,55931.583333333336,9.03,2012,1,5,14,0,2012-01-05
61,2012-01-05T15:00:00.000,55931.625,11.8,2012,1,5,15,0,2012-01-05
62,2012-01-05T16:00:00.000,55931.666666666664,15.38,2012,1,5,16,0,2012-01-05
63,2012-01-05T17:00:00.000,55931.708333333336,7.96,2012,1,5,17,0,2012-01-05
64,2012-01-05T18:00:00.000,55931.75,5.86,2012,1,5,18,0,2012-01-05
65,2012-01-05T19:00:00.000,55931.791666666664,7.41,2012,1,5,19,0,2012-01-05
